id,PA2,AccVal,val
rosaa001,634,5.484240,0.0086502208
kawam001,418,3.613890,0.0086456699
damoj001,1583,13.677290,0.0086401074
marrc001,142,1.226860,0.0086398592
emaub001,44,0.380130,0.0086393182
snidt001,1029,8.886460,0.0086360155
hefnj001,65,0.560810,0.0086278462
carpm002,1188,10.244620,0.0086234175
penac001,2225,19.178800,0.0086196854
santr002,1229,10.592410,0.0086187225
spilr001,630,5.423610,0.0086089048
walkn001,2337,20.105030,0.0086029226
gibbj002,147,1.264240,0.0086002721
therr001,1609,13.794690,0.0085734556
guerv001,1340,11.487570,0.0085728134
ramia003,2730,23.388030,0.0085670440
moreb001,697,5.970320,0.0085657389
avilm001,1753,15.014630,0.0085651055
headc001,2532,21.591860,0.0085275908
jimeu001,136,1.159080,0.0085226471
colvt001,1182,10.071220,0.0085204907
brucj001,2679,22.817530,0.0085171818
stule002,107,0.909980,0.0085044860
mcclk001,47,0.399450,0.0084989362
stewi001,803,6.822030,0.0084956787
johnr008,927,7.863770,0.0084830313
younc004,2161,18.330880,0.0084825914
gomej001,1764,14.951740,0.0084760431
ellim001,2083,17.652230,0.0084744263
lonej001,2401,20.319470,0.0084629196
frazt001,1233,10.427650,0.0084571371
linda001,2081,17.572880,0.0084444402
murpd005,2049,17.299100,0.0084427038
hartc001,1883,15.884720,0.0084358577
peraj001,2418,20.388170,0.0084318321
keppj001,1944,16.323400,0.0083968107
sweer001,1095,9.178730,0.0083824018
milll002,430,3.603270,0.0083796977
yound003,2249,18.815480,0.0083661538
escoa003,2550,21.281170,0.0083455569
lobaj001,570,4.754270,0.0083408246
jennd002,1556,12.971550,0.0083364717
barnd001,1862,15.519770,0.0083350000
rossd001,674,5.614950,0.0083307864
mornj001,1909,15.901810,0.0083299162
reynm001,2356,19.619900,0.0083276316
cruzl001,517,4.292700,0.0083030948
rogee002,61,0.506450,0.0083024590
beacb001,102,0.845270,0.0082869608
moliy001,2396,19.840120,0.0082805175
younm003,2928,24.230390,0.0082754064
ariaj001,741,6.117660,0.0082559514
cervf001,542,4.472830,0.0082524539
ludwr001,1812,14.949030,0.0082500166
zaung001,119,0.981520,0.0082480672
satij001,263,2.164640,0.0082305703
freef001,1980,16.286910,0.0082257121
hairj002,1447,11.885800,0.0082140981
lucyd001,29,0.237500,0.0081896552
rabur001,1407,11.522670,0.0081895309
holab001,47,0.384900,0.0081893617
ackld001,1525,12.467640,0.0081755016
getzc001,1158,9.463120,0.0081719516
nicaj001,100,0.817160,0.0081716000
bogub001,800,6.526120,0.0081576500
evera001,158,1.285670,0.0081371519
peguc001,230,1.870880,0.0081342609
bloow001,1121,9.110180,0.0081268332
craia001,1584,12.865350,0.0081220644
kipnj001,1545,12.543020,0.0081184595
branr002,370,2.999550,0.0081068919
youne003,1229,9.961310,0.0081052156
reddj001,1549,12.541640,0.0080966043
infao001,2395,19.387530,0.0080950021
stanm004,2057,16.641860,0.0080903549
murpd006,1805,14.573700,0.0080740720
wiggt001,1566,12.629190,0.0080646169
kenna001,1048,8.447430,0.0080605248
morrl001,1550,12.491040,0.0080587355
santc002,2198,17.709160,0.0080569427
mortc002,147,1.182850,0.0080465986
bernr001,1344,10.812020,0.0080446577
carrb001,99,0.796410,0.0080445455
volqe001,170,1.367180,0.0080422353
ramia001,2213,17.752830,0.0080220651
richc002,199,1.596140,0.0080208040
